,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,Shift,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,DailyRate,MonthlyIncome,MonthlyRate
44,2.0,0,1,1,0.0,2,3,3,0,2.0,3,2,2,4,2,1,0,23,4,4,0,2.0,2,3,2.0,8,3,7,0.018799303420702886,0.010210846596147584,0.015058397114337015
45,3.0,0,2,2,2.0,3,5,2,0,1.0,3,5,3,3,1,1,0,12,3,4,0,3.0,0,3,3.0,15,15,8,0.03759860684140577,0.06233990553437472,0.024521701722888256
46,2.0,0,0,0,3.0,4,2,2,1,3.0,3,2,2,3,2,0,0,20,4,3,0,1.0,2,3,1.0,5,8,7,0.02954176251824739,0.011957438777067566,0.013745968008041587
47,2.0,0,2,1,2.0,2,1,2,1,3.0,3,1,3,2,1,4,0,21,4,1,0,1.0,1,3,1.0,0,0,0,0.00984725417274913,0.006852015478993773,0.014091344088645647
48,3.0,0,1,0,1.0,4,2,1,1,4.0,3,2,2,4,2,4,1,21,4,3,0,2.0,4,3,1.0,6,0,8,0.03312258221742889,0.01612238936233829,0.0317055241994527
49,2.0,0,2,1,1.0,1,1,4,1,1.0,4,1,2,4,1,1,0,19,3,4,0,1.0,2,3,1.0,0,0,1,0.03401778714222427,0.0042993038299568775,0.00483526512845684
50,3.0,1,2,1,0.0,2,1,1,1,4.0,2,3,2,3,2,9,1,13,3,4,0,3.0,2,3,1.0,0,0,0,0.016113688646316758,0.014778856915476766,0.029702342931949156
51,1.0,1,2,1,1.0,4,5,3,1,1.0,3,1,2,3,2,1,1,13,3,3,0,1.0,3,2,1.0,2,2,2,0.04028422161579189,0.008195547925855298,0.015749149275545136
52,3.0,0,2,0,0.0,5,2,2,0,3.0,3,2,2,1,0,5,1,21,4,3,1,1.0,2,2,1.0,3,1,3,0.04207463146538264,0.01504756340484907,0.003315610373798976
53,2.0,0,0,1,1.0,2,3,3,1,3.0,2,3,2,1,1,2,1,13,3,3,1,1.0,3,3,1.0,0,2,3,0.030436967443042764,0.029826420320325835,0.01077573371484667
54,1.0,1,2,0,3.0,3,2,3,0,1.0,2,2,2,4,1,7,1,19,3,3,1,1.0,2,2,1.0,2,0,0,0.04028422161579189,0.01061390633020604,0.03343240460247301
55,2.0,0,1,2,0.0,2,1,1,0,4.0,3,3,3,4,2,1,1,12,3,3,0,2.0,1,3,2.0,14,8,12,0.012532868947135256,0.041918212342079555,0.022587595671505523
56,2.0,0,1,0,2.0,5,1,2,1,3.0,3,3,2,1,1,1,0,22,4,4,1,1.0,3,2,1.0,8,1,8,0.02327532804467976,0.027139355426602788,0.015472848411061887
57,2.0,0,2,1,3.0,4,3,3,0,0.0,3,1,2,1,1,3,1,15,3,3,1,1.0,3,3,1.0,2,2,2,0.03133217236783814,0.010210846596147584,0.024038175210042572
58,2.0,0,2,1,1.0,4,1,4,1,1.0,3,2,2,4,0,3,0,22,4,4,1,1.0,3,2,1.0,7,1,7,0.017008893571112134,0.016525449096396746,0.012847990198471031
59,2.0,0,2,2,0.0,4,1,1,1,2.0,2,2,4,3,0,1,0,18,3,3,1,1.0,2,4,1.0,5,0,7,0.030436967443042764,0.016794155585769053,0.00103612824181218
60,2.0,0,2,2,0.0,3,3,1,1,1.0,3,2,4,4,1,1,1,22,4,2,1,1.0,3,3,1.0,8,7,8,0.00984725417274913,0.01733156856451366,0.015196547546578638
61,2.0,0,1,1,3.0,5,1,4,0,1.0,3,2,2,4,2,1,0,11,3,4,0,1.0,2,3,1.0,3,9,9,0.017008893571112134,0.004702363564015335,0.005871393370269019
62,4.0,0,2,2,1.0,2,3,2,0,1.0,2,5,3,3,0,5,1,12,3,4,1,3.0,2,2,3.0,3,13,8,0.026856147743861265,0.05965284064065167,0.02528152910021719
63,5.0,0,2,0,3.0,3,1,1,0,4.0,3,3,2,1,2,7,0,11,3,4,0,3.0,3,2,3.0,16,7,9,0.04028422161579189,0.0223026386179013,0.00048352651284568396
64,2.0,0,2,1,1.0,3,5,3,0,2.0,3,3,2,3,0,1,0,13,3,2,3,2.0,2,3,2.0,14,12,8,0.03401778714222427,0.03063253978844275,0.010568508066484236
65,4.0,0,2,2,1.0,3,3,4,0,1.0,3,4,3,3,0,2,1,14,3,3,3,3.0,2,3,1.0,0,0,2,0.022380123119884385,0.046217516172036434,0.03046217030927809
66,2.0,0,1,1,1.0,3,1,2,1,4.0,2,2,4,2,2,1,0,13,3,3,0,1.0,3,3,1.0,5,0,3,0.03312258221742889,0.01854074776668903,0.035573736302218176
67,3.0,0,2,1,1.0,3,1,2,1,2.0,3,3,3,1,0,2,0,17,3,3,1,3.0,2,3,1.0,0,0,0,0.03759860684140577,0.029289007341581227,0.028873440338499413
68,2.0,0,1,1,0.0,3,3,2,1,3.0,3,1,3,1,1,4,0,13,3,4,1,1.0,2,2,1.0,2,1,2,0.017008893571112134,0.004030597340584572,0.006562145531477139
69,2.0,1,2,1,1.0,3,3,4,1,3.0,2,1,3,3,1,0,1,17,3,1,1,1.0,0,2,1.0,0,0,0,0.007161639398363003,0.008061194681169144,0.03405408154756031
70,5.0,0,1,0,0.0,1,1,1,0,2.0,2,2,2,3,2,7,0,11,3,4,0,2.0,2,2,1.0,3,1,3,0.03401778714222427,0.01504756340484907,0.03902749710825878
71,2.0,0,2,1,1.0,3,1,3,1,3.0,3,1,3,2,1,0,0,23,4,4,1,1.0,3,3,1.0,4,0,4,0.036703401916610395,0.005777189521504554,0.0049734155606984635
72,2.0,0,2,1,0.0,4,3,3,1,3.0,3,1,3,2,2,1,0,17,3,2,0,1.0,4,3,1.0,1,1,0,0.02954176251824739,0.005105423298073792,0.028873440338499413
73,2.0,0,2,1,0.0,3,1,2,1,2.0,3,2,3,2,1,1,0,17,3,2,2,1.0,3,3,1.0,4,0,9,0.013428073871930632,0.017600275053885967,0.009117928527947183
74,2.0,0,2,1,1.0,3,1,2,0,2.0,4,1,2,4,1,3,0,12,3,2,0,1.0,3,3,1.0,0,0,0,0.0008952049247953754,0.006852015478993773,0.03439945762816437
75,2.0,0,2,0,1.0,4,1,3,0,2.0,3,2,4,4,2,1,0,23,4,4,0,2.0,2,3,2.0,7,1,8,0.01969450834549826,0.011554379043009108,0.03211997549617758
76,2.0,0,2,0,0.0,4,2,3,1,1.0,2,2,2,1,2,0,0,14,3,2,0,2.0,2,3,2.0,13,2,8,0.020589713270293634,0.01115131930895065,0.036195413247305484
77,3.0,0,2,2,1.0,4,4,4,1,2.0,3,3,3,1,1,4,1,14,3,2,0,2.0,3,4,0.0,0,0,0,0.0035808196991815016,0.04111209287396264,0.0224494452392639
78,2.0,0,2,2,1.0,4,3,1,1,0.0,3,3,3,3,2,4,0,13,3,1,0,2.0,3,4,1.0,2,0,2,0.008952049247953755,0.04258997856551031,0.04006362535007096
79,3.0,0,2,2,1.0,2,3,2,1,3.0,3,2,3,2,0,8,1,22,4,4,1,2.0,2,3,1.0,2,0,2,0.02596094281906589,0.013569677713301394,0.014436720169249706
80,2.0,0,2,1,0.0,1,1,4,1,2.0,2,2,2,4,1,1,1,12,3,3,2,1.0,1,2,1.0,8,3,0,0.022380123119884385,0.0138383842026737,0.024038175210042572
81,2.0,0,2,1,0.0,3,3,2,1,0.0,2,1,3,3,2,1,0,18,3,1,0,1.0,3,3,1.0,4,0,4,0.03401778714222427,0.006314602500249163,0.041790505753091255
82,4.0,0,2,0,0.0,2,1,1,1,2.0,3,3,2,4,1,3,0,14,3,4,1,3.0,4,3,1.0,0,1,0,0.0008952049247953754,0.031035599522501206,0.027630086448324796
83,2.0,0,0,1,1.0,3,3,2,0,3.0,1,2,3,4,0,7,1,12,3,4,3,2.0,3,3,2.0,11,1,9,0.014323278796726006,0.01451015042610446,0.023554648697196888
84,2.0,0,2,2,0.0,2,3,1,1,4.0,3,2,4,2,1,1,0,15,3,3,0,1.0,2,3,1.0,2,1,3,0.032227377292633516,0.01115131930895065,0.0270774847193583
85,4.0,0,2,2,1.0,3,1,4,1,1.0,1,3,4,4,2,4,0,11,3,1,0,4.0,3,2,1.0,4,0,2,0.03938901669099652,0.021093459415725928,0.03391593111531869
86,1.0,0,2,0,1.0,1,5,3,1,2.0,3,1,3,1,0,3,0,13,3,3,1,1.0,3,3,0.0,0,0,0,0.013428073871930632,0.004433657074643029,0.012847990198471031
87,4.0,0,2,1,1.0,4,1,4,1,4.0,3,1,2,4,1,3,0,23,4,2,2,1.0,4,3,1.0,2,0,3,0.00984725417274913,0.003627537606526115,0.028735289906257788
88,2.0,0,2,1,1.0,3,1,3,1,4.0,2,2,2,4,1,1,0,19,3,1,3,2.0,3,3,2.0,10,10,8,0.006266434473567628,0.01061390633020604,0.023761874345559326
89,3.0,0,2,0,1.0,2,3,3,1,2.0,2,3,2,4,2,1,0,16,3,4,0,1.0,3,3,1.0,8,4,7,0.017008893571112134,0.02902030085220892,0.019893662242793854
90,3.0,0,1,1,0.0,4,1,3,1,3.0,2,4,2,2,1,1,0,22,4,4,1,3.0,3,2,3.0,3,11,11,0.013428073871930632,0.042052565586765706,0.02079164005236441
91,4.0,0,2,0,2.0,4,2,3,1,3.0,3,2,2,4,2,0,1,22,4,4,0,2.0,2,1,1.0,7,1,0,0.016113688646316758,0.014913210160162917,0.010982959363209107
92,2.0,0,2,0,1.0,2,3,3,0,2.0,2,2,2,2,0,1,1,12,3,2,3,2.0,4,2,2.0,8,2,7,0.03759860684140577,0.014107090692046003,0.0305312455253989
93,3.0,0,1,1,0.0,3,3,3,1,1.0,2,3,2,1,1,2,1,13,3,3,1,3.0,5,2,1.0,9,9,5,0.016113688646316758,0.032513485214048884,0.0018650308352619238
94,2.0,0,2,0,1.0,4,3,2,1,3.0,3,2,2,3,2,1,0,16,3,1,0,2.0,0,3,2.0,8,5,7,0.030436967443042764,0.013569677713301394,0.03840582016317147
95,4.0,0,2,2,1.0,4,5,1,0,2.0,3,3,3,3,1,9,0,12,3,1,1,2.0,5,1,1.0,3,0,3,0.03401778714222427,0.042186918831451856,0.03785321843420497
96,1.0,0,2,0,1.0,2,4,1,0,1.0,3,2,2,3,1,0,0,21,4,1,1,1.0,2,2,1.0,2,0,2,0.03759860684140577,0.01343532446861524,0.02666303342263343
97,1.0,0,0,0,1.0,3,3,2,1,1.0,3,2,2,3,1,1,0,15,3,2,0,1.0,3,4,1.0,4,0,4,0.0008952049247953754,0.010882612819578346,0.011742786740538039
98,4.0,0,2,0,1.0,4,3,4,1,1.0,3,4,2,3,2,0,0,13,3,3,0,4.0,1,2,4.0,10,1,8,0.01790409849590751,0.04326174478894108,0.03854397059541309
99,3.0,0,0,1,3.0,3,3,2,1,2.0,3,2,2,2,1,4,0,12,3,3,1,2.0,3,4,1.0,2,1,2,0.01163766402233988,0.003493184361839963,0.03964917405334609
100,2.0,1,2,2,1.0,4,0,3,1,2.0,3,1,3,1,0,4,1,22,4,4,0,1.0,3,3,1.0,2,0,2,0.02148491819508901,0.003627537606526115,0.03723154148911766
101,2.0,0,2,1,0.0,1,1,4,1,3.0,3,1,3,1,2,1,0,13,3,4,0,1.0,2,3,1.0,0,0,0,0.022380123119884385,0.0065833089896214685,0.022656670887626334
102,1.0,1,1,1,1.0,3,1,4,0,2.0,2,1,2,4,2,1,1,18,3,2,0,1.0,5,3,1.0,0,1,0,0.02327532804467976,0.006448955744935316,0.030600320741519714
103,2.0,0,2,1,1.0,4,4,1,0,1.0,3,2,3,3,2,1,0,14,3,3,0,2.0,3,3,2.0,13,2,10,0.017008893571112134,0.01276355824518448,0.017959556191411118
104,2.0,0,0,1,1.0,2,1,3,1,4.0,2,2,2,4,0,5,0,14,3,4,1,2.0,2,4,1.0,0,0,0,0.028646557593452013,0.013972737447359851,0.023761874345559326
105,5.0,0,0,2,1.0,4,0,3,0,1.0,2,5,1,4,1,9,0,21,4,4,1,3.0,3,3,1.0,2,2,2,0.03938901669099652,0.059921547130023976,0.03426130719592275
106,4.0,0,1,2,0.0,3,1,1,0,3.0,3,5,3,2,1,3,1,19,3,1,0,3.0,1,2,1.0,3,0,7,0.030436967443042764,0.05777189521504554,0.013262441495195903
107,1.0,1,2,0,1.0,3,2,3,1,1.0,2,2,2,3,2,1,1,11,3,4,0,1.0,1,3,1.0,4,0,3,0.0044760246239768774,0.01598803611765214,0.04296478442714506
108,1.0,0,2,1,1.0,1,3,4,1,2.0,2,1,3,4,1,1,0,11,3,3,2,1.0,2,3,1.0,2,2,1,0.03580819699181502,0.006314602500249163,0.04289570921102425
109,1.0,0,2,1,2.0,3,3,2,0,2.0,3,1,2,4,2,1,0,15,3,3,0,1.0,5,3,0.0,0,0,0,0.013428073871930632,0.006314602500249163,0.03750784235360091
110,4.0,0,1,1,0.0,4,3,1,0,0.0,2,3,2,1,2,3,0,20,4,3,0,3.0,1,2,2.0,12,12,8,0.04117942654058727,0.021765225639156692,0.040961603159641514
111,2.0,1,1,1,1.0,3,1,1,1,2.0,1,2,2,3,2,1,1,24,4,4,0,1.0,3,3,1.0,7,0,6,0.017008893571112134,0.017062862075141356,0.035919112382822235
112,4.0,0,0,2,3.0,3,0,4,0,0.0,4,4,1,4,2,2,1,12,3,3,0,3.0,3,3,1.0,3,4,4,0.0017904098495907508,0.054816123831950184,0.020377188755639538
113,1.0,0,2,1,2.0,1,1,2,1,2.0,3,1,2,3,1,0,0,12,3,3,1,1.0,2,3,1.0,3,1,2,0.03133217236783814,0.006045896010876859,0.01934106051382736
114,2.0,0,2,1,1.0,4,1,3,0,1.0,2,2,3,2,0,6,0,15,3,3,1,2.0,3,3,1.0,0,0,0,0.027751352668656637,0.011823085532381412,0.022311294807022274
115,2.0,0,2,0,1.0,3,1,3,1,3.0,3,3,2,4,2,2,0,12,3,1,0,2.0,3,3,1.0,3,1,3,0.03312258221742889,0.02163087239447054,0.02148239221357253
116,2.0,0,2,2,1.0,3,3,3,0,1.0,2,3,3,1,2,2,0,12,3,4,0,2.0,6,3,2.0,10,5,8,0.03759860684140577,0.03573796308651654,0.0061476942347522675
117,2.0,0,1,0,1.0,2,5,2,0,4.0,3,3,2,4,1,0,0,14,3,3,1,1.0,6,3,1.0,7,2,8,0.04117942654058727,0.029423360586267377,0.03605726281506386
118,2.0,0,2,1,1.0,2,1,1,0,1.0,3,1,2,4,0,5,0,22,4,1,1,1.0,2,3,1.0,0,0,0,0.025065737894270513,0.006180249255563011,0.000828902593449744
119,3.0,0,1,0,3.0,2,1,3,1,4.0,3,4,1,4,1,1,1,12,3,4,2,3.0,3,4,3.0,12,4,12,0.008952049247953755,0.05360694462977481,0.030047719012553216
120,2.0,0,1,1,3.0,3,1,1,1,4.0,1,1,3,3,0,1,0,25,4,3,3,1.0,2,2,1.0,7,0,9,0.036703401916610395,0.005508483032132249,0.03495205935713087
121,2.0,0,0,0,3.0,2,2,3,1,4.0,3,2,2,2,1,0,0,13,3,1,1,1.0,2,4,1.0,7,0,7,0.01969450834549826,0.01733156856451366,0.023140197400472018
122,4.0,1,2,1,2.0,4,1,2,0,3.0,3,1,3,2,1,9,1,18,3,1,3,1.0,2,3,1.0,4,4,3,0.010742459097544505,0.013300971223929089,0.004213588183369531
123,4.0,0,2,2,1.0,3,1,1,1,2.0,3,5,3,3,2,7,0,13,3,3,0,3.0,5,3,2.0,18,15,15,0.01790409849590751,0.06233990553437472,0.007598273773289319
124,2.0,1,2,0,1.0,4,1,2,1,3.0,1,2,2,3,1,4,1,18,3,2,0,2.0,3,2,1.0,7,7,7,0.0044760246239768774,0.017465921809199814,0.0322581259284192
125,1.0,0,2,1,1.0,3,4,3,0,1.0,2,1,3,2,1,1,0,19,3,3,0,1.0,3,2,1.0,4,4,3,0.022380123119884385,0.004568010319329182,0.036678939760151165
126,4.0,0,2,1,3.0,4,3,4,0,4.0,3,3,2,4,1,1,0,12,3,4,1,4.0,3,2,4.0,10,15,6,0.0017904098495907508,0.03130430601187351,0.00241763256422842
127,1.0,1,2,0,3.0,1,2,4,1,1.0,3,1,3,3,2,1,1,19,3,4,0,0.0,2,2,0.0,0,0,0,0.013428073871930632,0.002284005159664591,0.04275755877878262
128,1.0,0,2,1,1.0,1,5,3,1,4.0,3,1,2,4,1,0,0,14,3,3,1,1.0,2,3,1.0,1,2,1,0.015218483721521382,0.005105423298073792,0.02977141814806997
129,4.0,0,2,1,2.0,4,3,3,0,4.0,3,2,4,1,1,1,0,14,3,3,0,2.0,2,2,2.0,11,5,11,0.01163766402233988,0.018675101011375185,0.006009543802510643
130,3.0,0,1,1,3.0,3,3,2,0,3.0,4,1,3,3,2,4,0,12,3,4,0,2.0,2,3,1.0,2,1,2,0.02596094281906589,0.012629205000498326,0.024176325642284197
131,4.0,0,1,0,2.0,3,2,3,0,3.0,3,3,2,4,2,4,0,11,3,4,0,2.0,3,3,1.0,2,2,1,0.02148491819508901,0.027542415160661245,0.007874574637772568
132,2.0,1,2,0,2.0,3,1,2,0,3.0,1,2,2,3,1,3,1,11,3,3,1,1.0,2,3,1.0,2,2,2,0.013428073871930632,0.011957438777067566,0.03923472275662121
133,3.0,0,2,0,1.0,1,1,3,1,4.0,3,3,2,3,0,3,1,13,3,3,1,2.0,2,3,1.0,7,0,7,0.02148491819508901,0.024183584043507435,0.03301795330574813
134,1.0,0,2,2,3.0,1,1,3,0,2.0,3,1,3,3,1,1,0,23,4,4,1,1.0,3,3,1.0,7,5,7,0.03759860684140577,0.0065833089896214685,0.011811861956658851
135,2.0,0,2,2,1.0,2,3,2,1,3.0,3,2,4,2,0,6,0,20,4,4,2,1.0,0,3,1.0,2,0,1,0.0035808196991815016,0.013300971223929089,0.001312429106295428
136,4.0,1,1,0,1.0,4,1,1,1,2.0,1,3,4,4,2,2,0,15,3,4,0,2.0,2,3,1.0,2,0,3,0.03133217236783814,0.032513485214048884,0.03985639970170852
137,3.0,0,2,0,1.0,4,1,4,0,1.0,2,2,2,3,1,4,0,14,3,3,1,2.0,1,4,2.0,11,5,9,0.036703401916610395,0.016525449096396746,0.021620542645814155
138,1.0,0,2,0,3.0,3,1,1,1,1.0,2,2,2,3,1,2,0,18,3,4,0,1.0,3,3,1.0,2,2,2,0.02596094281906589,0.02566146973505511,0.03930379797274203
139,2.0,0,2,2,1.0,3,0,3,1,1.0,3,2,3,4,1,0,1,19,3,4,0,2.0,2,1,2.0,9,4,7,0.03401778714222427,0.018003334787944424,0.020584414404001973
140,2.0,1,2,1,1.0,3,3,1,0,1.0,3,1,2,1,2,7,0,22,4,1,0,1.0,2,4,1.0,4,0,4,0.028646557593452013,0.010748259574892192,0.014091344088645647
